YEAR,POSSIBLE_LAPS,WDC_NAME,WDC_LAPS,WDC_PCT_COMPLETED,MOST_NAME,MOST_LAPS,MOST_PCT_COMPLETED,MOST_IS_WDC
"2021","1297","Max Verstappen","1211","0.9336931380107941403","Carlos Sainz","1294","0.9976869699306090979","False"
"2020","1037","Lewis Hamilton","950","0.9161041465766634522","Lando Norris","1015","0.9787849566055930568","False"
"2019","1262","Lewis Hamilton","1262","1.0000000000000000000","Lewis Hamilton","1262","1.0000000000000000000","True"
"2018","1264","Lewis Hamilton","1255","0.9928797468354430379","Lewis Hamilton","1255","0.9928797468354430379","True"
"2017","1196","Lewis Hamilton","1195","0.9991638795986622073","Lewis Hamilton","1195","0.9991638795986622073","True"
"2016","1268","Nico Rosberg","1202","0.9479495268138801261","Daniel Ricciardo","1267","0.9992113564668769716","False"
"2015","1149","Lewis Hamilton","1120","0.9747606614447345517","Sebastian Vettel","1127","0.9808529155787641427","False"
"2014","1134","Lewis Hamilton","1049","0.9250440917107583774","Jenson Button","1120","0.9876543209876543209","False"
"2013","1131","Sebastian Vettel","1120","0.9902740937223695844","Jenson Button","1126","0.9955791335101679929","False"
"2012","1192","Sebastian Vettel","1162","0.9748322147651006711","Kimi Räikkönen","1191","0.9991610738255033557","False"
"2011","1133","Sebastian Vettel","1079","0.9523389232127096204","Paul di Resta","1105","0.9752868490732568402","False"
"2010","1129","Sebastian Vettel","1066","0.9441984056687333923","Fernando Alonso","1120","0.9920283436669619131","False"
"2009","988","Jenson Button","944","0.9554655870445344129","Rubens Barrichello","977","0.9888663967611336032","False"
"2008","1117","Lewis Hamilton","1065","0.9534467323187108325","Nick Heidfeld","1112","0.9955237242614145031","False"
"2007","1065","Kimi Räikkönen","982","0.9220657276995305164","Fernando Alonso","1039","0.9755868544600938967","False"
"2006","1137","Fernando Alonso","1108","0.9744942832014072119","Fernando Alonso","1108","0.9744942832014072119","True"
"2005","1180","Fernando Alonso","1074","0.9101694915254237288","Tiago Monteiro","1125","0.9533898305084745762","False"
"2004","1122","Michael Schumacher","1089","0.9705882352941176470","Rubens Barrichello","1107","0.9866310160427807486","False"
"2003","1018","Michael Schumacher","988","0.9705304518664047151","Michael Schumacher","988","0.9705304518664047151","True"
"2002","1090","Michael Schumacher","1090","1.0000000000000000000","Michael Schumacher","1090","1.0000000000000000000","True"
"2001","1065","Michael Schumacher","1005","0.9436619718309859154","Michael Schumacher","1005","0.9436619718309859154","True"
"2000","1074","Michael Schumacher","921","0.8575418994413407821","David Coulthard","973","0.9059590316573556797","False"
"1999","1000","Mika Häkkinen","850","0.8500000000000000000","Eddie Irvine","983","0.9830000000000000000","False"
"1998","1015","Mika Häkkinen","856","0.8433497536945812807","Jacques Villeneuve","939","0.9251231527093596059","False"
"1997","1054","Jacques Villeneuve","863","0.8187855787476280834","Jean Alesi","947","0.8984819734345351043","False"
"1996","1014","Damon Hill","841","0.8293885601577909270","Jacques Villeneuve","937","0.9240631163708086785","False"
"1995","1124","Michael Schumacher","965","0.8585409252669039145","Michael Schumacher","965","0.8585409252669039145","True"
"1994","1046","Michael Schumacher","851","0.8135755258126195028","Olivier Panis","976","0.9330783938814531548","False"
"1993","1045","Alain Prost","989","0.9464114832535885167","Alain Prost","989","0.9464114832535885167","True"
"1992","1036","Nigel Mansell","897","0.8658301158301158301","Michele Alboreto","911","0.8793436293436293436","False"
"1991","980","Ayrton Senna","934","0.9530612244897959183","Ayrton Senna","934","0.9530612244897959183","True"
"1990","1052","Ayrton Senna","895","0.8507604562737642585","Nelson Piquet","958","0.9106463878326996197","False"
"1989","1039","Alain Prost","895","0.8614051973051010587","Alain Prost","895","0.8614051973051010587","True"
"1988","1031","Alain Prost","973","0.9437439379243452958","Ayrton Senna","988","0.9582929194956353055","False"
"1987","1009","Nelson Piquet","889","0.8810703666997026759","Ayrton Senna","956","0.9474727452923686818","False"
"1986","1044","Alain Prost","934","0.8946360153256704980","Nelson Piquet","937","0.8975095785440613026","False"
"1985","1032","Alain Prost","894","0.8662790697674418604","Thierry Boutsen","903","0.8750000000000000000","False"
"1984","1001","Niki Lauda","853","0.8521478521478521478","Elio de Angelis","853","0.8521478521478521478","True"
"1983","940","Nelson Piquet","808","0.8595744680851063829","Alain Prost","835","0.8882978723404255319","False"
"1982","1060","Keke Rosberg","941","0.8877358490566037735","Keke Rosberg","941","0.8877358490566037735","True"
"1981","973","Nelson Piquet","808","0.8304213771839671120","Carlos Reutemann","852","0.8756423432682425488","False"
"1980","889","Alan Jones","757","0.8515185601799775028","Alan Jones","757","0.8515185601799775028","True"
"1979","975","Jody Scheckter","907","0.9302564102564102564","Gilles Villeneuve","914","0.9374358974358974358","False"
"1978","1036","Mario Andretti","870","0.8397683397683397683","Jacques Laffite","944","0.9111969111969111969","False"
"1977","1132","Niki Lauda","846","0.7473498233215547703","Jody Scheckter","988","0.8727915194346289752","False"
"1976","1030","James Hunt","814","0.7902912621359223300","Jean-Pierre Jarier","918","0.8912621359223300970","False"
"1975","764","Niki Lauda","733","0.9594240837696335078","Niki Lauda","733","0.9594240837696335078","True"
"1974","979","Emerson Fittipaldi","894","0.9131767109295199182","John Watson","897","0.9162410623084780388","False"
"1973","973","Jackie Stewart","884","0.9085303186022610483","Denny Hulme","915","0.9403905447070914696","False"
"1972","805","Emerson Fittipaldi","722","0.8968944099378881987","Denny Hulme","750","0.9316770186335403726","False"
"1971","671","Jackie Stewart","607","0.9046199701937406855","Jackie Stewart","607","0.9046199701937406855","True"
"1970","917","Jochen Rindt","440","0.4798255179934569247","Henri Pescarolo","747","0.8146128680479825517","False"
